Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
143,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-316,1998,19.3,9,0,0,31,16,1,5,27,40,0,0,0,102,21,20,51.2,Matches
144,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-196,2004,7.0,3,1,0,14,20,3,28,4,17,0,0,0,26,12,7,63.2,Matches
145,Alfie Dorrington,eng ENG,DF,Tottenham,20-020,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
146,Abdoulaye Doucouré,ml MLI,MF,Everton,32-129,1993,26.9,5,1,1,46,5,10,23,9,27,0,0,0,139,29,43,40.3,Matches
147,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-122,2000,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,Matches
148,Flynn Downes,eng ENG,MF,Southampton,26-110,1999,20.9,10,0,0,46,35,0,3,30,24,0,0,0,75,14,13,51.9,Matches
149,Tommy Doyle,eng ENG,MF,Wolves,23-205,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,Matches
150,Radu Drăgușin,ro ROU,DF,Tottenham,23-096,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
151,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-115,1989,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,Matches
152,Lewis Dunk,eng ENG,DF,Brighton,33-170,1991,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2,Matches
153,Jáder Durán,co COL,FW,Aston Villa,21-148,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches
154,Ederson,br BRA,GK,Manchester City,31-266,1993,22.8,3,0,0,1,0,0,0,1,0,0,1,0,38,4,1,80.0,Matches
155,George Edmundson,eng ENG,DF,Ipswich Town,27-252,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
156,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-114,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,Matches
157,Odsonne Édouard,fr FRA,FW,Leicester City,27-114,1998,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches
158,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-102,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,Matches
159,Ronnie Edwards,eng ENG,DF,Southampton,22-043,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
160,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,23-013,2002,24.8,1,0,0,8,36,15,156,6,13,0,0,0,84,24,34,41.4,Matches
161,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-036,2003,3.0,1,0,0,0,0,1,10,1,3,0,0,0,10,1,2,33.3,Matches
162,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-120,2006,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,8,38.5,Matches
163,Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-107,2004,7.9,3,0,0,8,16,0,15,1,8,0,1,0,39,7,16,30.4,Matches
164,Julio Enciso,py PAR,"MF,FW",Brighton,21-107,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,Matches
165,Wataru Endo,jp JPN,MF,Liverpool,32-090,1993,2.6,0,0,0,14,6,0,0,3,8,0,0,0,12,2,3,40.0,Matches
166,Christian Eriksen,dk DEN,MF,Manchester Utd,33-085,1992,11.4,4,0,0,8,3,0,78,7,9,0,0,0,59,2,6,25.0,Matches
167,Romain Esse,eng ENG,MF,Crystal Palace,19-362,2005,0.4,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,100.0,Matches
168,Pervis Estupiñán,ec ECU,DF,Brighton,27-109,1998,24.7,5,0,0,33,17,3,114,34,39,0,0,0,136,43,26,62.3,Matches
169,Evanilson,br BRA,FW,Bournemouth,25-216,1999,22.9,1,1,0,33,45,17,0,0,10,5,0,0,59,39,58,40.2,Matches
170,Jake Evans,,FW,Leicester City,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
171,Jonny Evans,nir NIR,DF,Manchester Utd,37-127,1988,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches
172,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-315,1998,27.0,1,0,0,11,49,9,103,11,22,0,0,0,133,7,37,15.9,Matches
173,Łukasz Fabiański,pl POL,GK,West Ham,40-022,1985,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7,Matches
174,Wout Faes,be BEL,DF,Leicester City,27-037,1998,28.3,4,0,0,21,10,1,5,26,23,0,0,0,87,41,34,54.7,Matches
175,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-063,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
176,João Félix,pt POR,"FW,MF",Chelsea,25-181,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches
177,Evan Ferguson,ie IRL,FW,West Ham,20-203,2004,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3,Matches
178,Evan Ferguson,ie IRL,FW,Brighton,20-203,2004,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8,Matches
179,Bruno Fernandes,pt POR,MF,Manchester Utd,30-244,1994,30.6,4,2,1,26,37,2,172,25,47,0,0,0,192,21,28,42.9,Matches
180,Mateus Fernandes,pt POR,MF,Southampton,20-304,2004,29.3,8,0,0,42,53,4,104,21,46,0,0,0,165,13,9,59.1,Matches
181,Enzo Fernández,ar ARG,MF,Chelsea,24-113,2001,29.7,7,0,0,47,48,1,105,13,32,0,0,0,147,14,28,33.3,Matches
182,Mark Flekken,nl NED,GK,Brentford,31-331,1993,33.4,1,0,0,0,3,0,0,0,4,0,0,0,37,4,0,100.0,Matches
183,Phil Foden,eng ENG,"MF,FW",Manchester City,24-347,2000,18.8,2,0,0,5,32,3,73,9,5,0,0,0,59,3,8,27.3,Matches
184,Wesley Fofana,fr FRA,DF,Chelsea,24-144,2000,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2,Matches
185,Carlos Forbs,pt POR,"MF,FW",Wolves,21-052,2004,2.7,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0,Matches
186,Fraser Forster,eng ENG,GK,Tottenham,37-054,1988,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
187,Matheus França,br BRA,"FW,MF",Crystal Palace,21-039,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
188,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-075,1994,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0,Matches
189,Tyler Fredricson,eng ENG,DF,Manchester Utd,20-076,2005,1.8,0,0,0,0,2,0,0,1,3,0,0,0,12,7,5,58.3,Matches
190,Niclas Füllkrug,de GER,FW,West Ham,32-090,1993,7.4,2,0,0,17,5,9,1,0,2,0,0,0,12,31,45,40.8,Matches
191,Cody Gakpo,nl NED,FW,Liverpool,26-003,1999,19.1,5,0,0,17,25,5,68,11,14,1,0,0,66,15,24,38.5,Matches
192,Idrissa Gana Gueye,sn SEN,MF,Everton,35-226,1989,31.0,8,0,0,51,41,0,7,44,74,0,0,0,180,23,15,60.5,Matches
193,Andrés García,es ESP,"DF,MF",Aston Villa,22-092,2003,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0,Matches
194,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-313,2004,23.8,3,0,0,12,41,10,52,13,18,0,0,0,108,3,23,11.5,Matches
195,James Garner,eng ENG,"MF,DF",Everton,24-058,2001,14.7,3,0,0,18,14,0,52,17,27,0,0,0,64,10,8,55.6,Matches
196,Tyrique George,eng ENG,FW,Chelsea,19-095,2006,1.1,1,0,0,2,0,1,3,1,0,0,0,0,3,0,3,0.0,Matches
197,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-103,2000,28.2,11,1,1,34,37,7,39,20,19,1,0,0,118,39,48,44.8,Matches
198,Billy Gilmour,sct SCO,MF,Brighton,23-333,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,,Matches
199,Ben Godfrey,eng ENG,DF,Ipswich Town,27-115,1998,1.8,1,0,0,1,0,0,0,2,0,0,0,0,2,3,0,100.0,Matches
200,Martial Godo,eng ENG,FW,Fulham,22-057,2003,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
201,Michael Golding,eng ENG,MF,Leicester City,18-352,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
202,João Gomes,br BRA,MF,Wolves,24-087,2001,30.9,10,1,1,67,41,1,27,25,62,0,0,0,178,9,24,27.3,Matches
203,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-307,2003,7.5,0,0,0,3,5,0,19,5,13,0,0,0,24,6,15,28.6,Matches
204,Toti Gomes,pt POR,DF,Wolves,26-114,1999,26.0,6,0,0,23,14,4,13,23,38,0,1,0,100,48,24,66.7,Matches
205,Diego Gómez,py PAR,MF,Brighton,22-044,2003,4.9,0,0,0,7,2,1,9,7,10,0,0,0,30,8,4,66.7,Matches
206,Joe Gomez,eng ENG,DF,Liverpool,27-352,1997,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Matches
207,Nicolás González,es ESP,MF,Manchester City,23-127,2002,7.2,3,0,0,11,4,0,0,5,6,0,0,0,31,16,11,59.3,Matches
208,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-075,2001,24.8,2,0,0,19,65,8,122,6,17,1,0,0,92,6,7,46.2,Matches
209,Ryan Gravenberch,nl NED,MF,Liverpool,22-359,2002,32.5,5,0,0,42,46,0,6,57,34,0,0,0,182,26,14,65.0,Matches
210,Archie Gray,eng ENG,"DF,MF",Tottenham,19-059,2006,16.5,0,0,0,9,11,0,13,13,7,0,0,1,59,10,9,52.6,Matches
211,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-242,1995,8.0,3,0,0,5,25,0,20,2,5,0,0,0,26,1,7,12.5,Matches
212,Jacob Greaves,eng ENG,DF,Ipswich Town,24-240,2000,21.5,5,0,0,12,19,1,1,18,19,0,0,0,48,65,38,63.1,Matches
213,Brajan Gruda,de GER,"FW,MF",Brighton,20-344,2004,5.6,0,0,0,6,9,1,18,2,6,0,0,0,19,3,4,42.9,Matches
214,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-352,2001,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0,Matches
215,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-162,1996,8.7,1,0,0,14,15,3,17,5,4,0,0,0,34,3,11,21.4,Matches
216,Marc Guéhi,eng ENG,DF,Crystal Palace,24-301,2000,33.0,9,1,1,23,26,1,13,25,31,0,0,3,137,68,57,54.4,Matches
217,Luis Guilherme,br BRA,"MF,FW",West Ham,19-090,2006,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7,Matches
218,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-175,1997,33.4,6,0,0,57,100,2,25,27,43,0,0,0,167,18,17,51.4,Matches
219,Marc Guiu,es ESP,FW,Chelsea,19-126,2006,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
220,İlkay Gündoğan,de GER,MF,Manchester City,34-198,1990,22.8,1,0,0,15,21,0,57,13,13,0,0,0,105,13,11,54.2,Matches
221,Malo Gusto,fr FRA,DF,Chelsea,21-356,2003,20.4,4,0,0,20,19,2,51,23,28,0,0,0,116,8,15,34.8,Matches
222,Joško Gvardiol,hr CRO,DF,Manchester City,23-107,2002,33.4,2,0,0,13,23,2,19,38,34,0,0,0,132,48,33,59.3,Matches
223,Erling Haaland,no NOR,FW,Manchester City,24-293,2000,27.6,2,0,0,22,12,4,3,5,5,0,0,0,29,49,45,52.1,Matches
224,Lewis Hall,eng ENG,DF,Newcastle Utd,20-244,2004,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2,Matches
225,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-070,2002,1.5,3,0,0,8,3,1,0,0,0,0,0,0,4,5,9,35.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
226,Marcus Harness,eng ENG,MF,Ipswich Town,29-075,1996,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,,Matches
227,Jack Harrison,eng ENG,FW,Everton,28-171,1996,21.1,0,0,0,13,26,4,118,9,21,1,0,0,65,4,26,13.3,Matches
228,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-100,2002,29.5,9,0,0,34,14,0,10,30,19,0,0,0,120,56,42,57.1,Matches
229,Kai Havertz,de GER,"FW,MF",Arsenal,25-333,1999,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Matches
230,Ayden Heaven,eng ENG,DF,Manchester Utd,18-230,2006,1.1,0,0,0,2,3,0,0,1,3,0,0,0,4,1,2,33.3,Matches
231,Jan Paul van Hecke,nl NED,DF,Brighton,24-336,2000,29.9,8,1,1,23,23,0,11,23,26,0,0,0,120,78,48,61.9,Matches
232,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-104,1996,7.2,0,0,0,6,8,0,8,2,4,0,0,0,27,3,9,25.0,Matches
233,Dean Henderson,eng ENG,GK,Crystal Palace,28-059,1997,35.0,3,0,0,0,1,0,0,0,1,0,0,0,25,11,1,91.7,Matches
234,Rico Henry,eng ENG,DF,Brentford,27-306,1997,0.9,0,0,0,1,1,0,0,1,0,0,0,0,4,1,1,50.0,Matches
235,Mads Hermansen,dk DEN,GK,Leicester City,24-303,2000,26.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0,Matches
236,Son Heung-min,kr KOR,FW,Tottenham,32-306,1992,22.3,1,0,0,5,28,11,75,5,9,1,0,0,81,6,11,35.3,Matches
237,James Hill,eng ENG,DF,Bournemouth,23-120,2002,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,Matches
238,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-029,2005,19.4,5,0,0,16,7,0,26,15,18,0,0,0,58,19,15,55.9,Matches
239,George Hirst,sct SCO,FW,Ipswich Town,26-084,1999,5.5,2,0,0,12,10,2,3,2,3,0,0,0,8,30,20,60.0,Matches
240,Mason Holgate,eng ENG,"FW,DF",Everton,28-200,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
241,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-184,2000,23.9,2,0,0,12,22,8,75,13,14,1,0,0,91,3,10,23.1,Matches
242,Will Hughes,eng ENG,MF,Crystal Palace,30-023,1995,21.1,11,0,0,60,30,0,68,19,33,0,1,0,110,17,17,50.0,Matches
243,Dean Huijsen,es ESP,DF,Bournemouth,20-026,2005,24.8,8,0,0,29,10,2,12,49,23,0,0,0,96,64,41,61.0,Matches
244,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-192,2003,25.7,5,0,0,29,36,4,60,10,12,0,0,0,96,6,24,20.0,Matches
245,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-095,2003,19.4,2,0,0,15,26,11,6,1,1,1,0,0,30,23,82,21.9,Matches
246,Igor,br BRA,DF,Brighton,27-092,1998,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1,Matches
247,Danny Ings,eng ENG,"FW,MF",West Ham,32-291,1992,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4,Matches
248,Tim Iroegbunam,eng ENG,MF,Everton,21-314,2003,6.3,4,0,0,15,12,0,1,15,13,0,0,0,48,11,4,73.3,Matches
249,Andy Irving,sct SCO,MF,West Ham,24-362,2000,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0,Matches
250,Alexander Isak,se SWE,FW,Newcastle Utd,25-231,1999,28.6,1,0,0,25,13,20,15,3,5,1,0,0,55,26,52,33.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
251,Alex Iwobi,ng NGA,"FW,MF",Fulham,29-007,1996,31.1,1,0,0,17,17,5,120,13,23,0,0,0,126,6,31,16.2,Matches
252,Nicolas Jackson,sn SEN,FW,Chelsea,23-324,2001,24.3,7,0,0,33,29,23,3,3,13,0,0,0,48,19,36,34.5,Matches
253,Reece James,eng ENG,"DF,MF",Chelsea,25-153,1999,9.3,1,0,0,6,10,0,38,12,9,0,0,0,55,21,6,77.8,Matches
254,Vitaly Janelt,de GER,MF,Brentford,27-000,1998,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3,Matches
255,Vitezslav Jaros,cz CZE,GK,Liverpool,23-291,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
256,Daniel Jebbison,eng ENG,FW,Bournemouth,21-270,2003,0.9,1,0,0,2,2,0,1,1,2,0,0,0,8,2,9,18.2,Matches
257,Mathias Jensen,dk DEN,MF,Brentford,29-129,1996,9.1,2,0,0,7,10,0,31,8,9,0,0,0,45,8,5,61.5,Matches
258,Gabriel Jesus,br BRA,FW,Arsenal,28-037,1997,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,Matches
259,Raúl Jiménez,mx MEX,FW,Fulham,34-005,1991,24.7,4,0,0,37,37,14,22,10,23,1,0,0,74,78,90,46.4,Matches
260,Kim Jisoo,kr KOR,DF,Brentford,20-137,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
261,João Pedro,br BRA,"FW,MF",Brighton,23-226,2001,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8,Matches
262,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-269,1996,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2,Matches
263,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-106,2000,15.0,5,1,1,27,6,1,37,13,22,0,0,0,57,19,18,51.4,Matches
264,Brennan Johnson,wls WAL,FW,Tottenham,23-352,2001,23.1,5,0,0,26,25,12,52,4,26,2,0,0,60,7,20,25.9,Matches
265,Sam Johnstone,eng ENG,GK,Wolves,32-046,1993,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0,Matches
266,Curtis Jones,eng ENG,"MF,DF",Liverpool,24-100,2001,17.0,3,1,1,17,24,1,6,6,20,1,0,0,86,13,12,52.0,Matches
267,Jorginho,it ITA,MF,Arsenal,33-141,1991,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3,Matches
268,Diogo Jota,pt POR,FW,Liverpool,28-157,1996,12.8,2,0,0,22,14,1,8,7,8,1,0,0,40,22,30,42.3,Matches
269,James Justin,eng ENG,DF,Leicester City,27-076,1998,29.7,5,0,0,23,37,2,53,44,29,0,0,0,79,61,48,56.0,Matches
270,Filip Jørgensen,dk DEN,GK,Chelsea,23-024,2002,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,Matches
271,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-215,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,Matches
272,Daichi Kamada,jp JPN,MF,Crystal Palace,28-278,1996,15.8,4,1,0,27,19,2,29,16,27,0,0,0,72,3,13,18.8,Matches
273,Boubacar Kamara,fr FRA,MF,Aston Villa,25-168,1999,16.3,2,0,0,25,28,0,1,17,20,0,0,0,73,17,23,42.5,Matches
274,Michael Kayode,it ITA,DF,Brentford,20-304,2004,3.2,1,0,0,5,2,0,7,4,8,0,0,0,22,2,1,66.7,Matches
275,Michael Keane,eng ENG,DF,Everton,32-119,1993,9.5,5,0,0,9,0,0,1,10,7,0,0,0,24,20,14,58.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
276,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-168,1998,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,Matches
277,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-216,1998,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0,Matches
278,Milos Kerkez,hu HUN,DF,Bournemouth,21-184,2003,34.2,4,0,0,28,45,1,125,42,26,0,0,0,156,25,47,34.7,Matches
279,Bilal El Khannouss,ma MAR,MF,Leicester City,21-000,2004,22.3,4,0,0,28,11,1,83,6,26,0,0,0,84,19,20,48.7,Matches
280,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-070,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0,Matches
281,Max Kilman,eng ENG,DF,West Ham,27-352,1997,34.2,4,0,0,21,13,2,3,38,20,0,0,0,138,105,50,67.7,Matches
282,Joshua King,eng ENG,"MF,FW",Fulham,18-127,2007,0.9,0,0,0,2,2,0,1,1,3,0,0,0,3,0,0,,Matches
283,Antonín Kinský,cz CZE,GK,Tottenham,22-058,2003,4.0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,100.0,Matches
284,Jakub Kiwior,pl POL,DF,Arsenal,25-084,2000,9.5,0,0,0,8,3,1,1,3,7,0,0,0,19,8,7,53.3,Matches
