Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-140,1996,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
97,Chiquinho,pt POR,MF,Wolves,25-094,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-221,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-077,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-069,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-168,2000,29,11,1056,11.7,0,4,4,0,0,0,2,0,1.0,1.0,2.0,2.9,32,35,47,0.00,0.34,0.34,0.00,0.34,0.08,0.17,0.25,0.08,0.25,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-035,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-074,1993,19,16,1444,16.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,30,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-211,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-010,2001,35,35,3150,35.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,28,117,18,0.06,0.09,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-127,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-073,2003,32,32,2879,32.0,1,1,2,1,0,0,8,0,1.3,1.3,1.1,2.5,13,125,11,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-096,1997,34,30,2816,31.3,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.1,33,153,49,0.03,0.10,0.13,0.03,0.13,0.03,0.13,0.16,0.03,0.16,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-225,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-261,1992,19,9,876,9.7,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,15,33,25,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-355,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-146,1989,15,8,676,7.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,28,2,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.17,0.01,0.17,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-292,1998,33,30,2718,30.2,4,1,5,4,0,0,10,1,2.6,2.6,2.1,4.7,31,107,108,0.13,0.03,0.17,0.13,0.17,0.09,0.07,0.16,0.09,0.16,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-174,1999,6,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-348,1999,30,27,2425,26.9,15,6,21,15,0,0,3,0,7.9,7.9,7.3,15.2,104,131,147,0.56,0.22,0.78,0.56,0.78,0.29,0.27,0.57,0.29,0.57,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-213,1998,21,5,653,7.3,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,10,8,34,0.14,0.00,0.14,0.14,0.14,0.17,0.01,0.18,0.17,0.18,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-053,1999,32,31,2788,31.0,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.0,62,102,164,0.00,0.10,0.10,0.00,0.10,0.06,0.07,0.13,0.06,0.13,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-311,2000,35,31,2658,29.5,2,10,12,2,0,0,2,0,2.6,2.6,7.8,10.4,64,213,121,0.07,0.34,0.41,0.07,0.41,0.09,0.26,0.35,0.09,0.35,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,24-011,2001,7,5,267,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-114,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-233,1998,7,6,572,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,17,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-016,1993,14,12,1126,12.5,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,14,50,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-118,2000,31,30,2563,28.5,1,2,3,1,0,0,5,1,0.9,0.9,4.3,5.2,48,55,117,0.04,0.07,0.11,0.04,0.11,0.03,0.15,0.18,0.03,0.18,Matches
124,Craig Dawson,eng ENG,DF,Wolves,35-004,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-316,1991,25,17,1538,17.1,4,7,11,4,0,0,2,0,3.8,3.8,7.6,11.4,47,135,137,0.23,0.41,0.64,0.23,0.64,0.22,0.44,0.67,0.22,0.67,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
126,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,32-097,1993,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.10,0.15,0.24,0.10,0.24,Matches
127,Liam Delap,eng ENG,FW,Ipswich Town,22-091,2003,34,31,2491,27.7,12,2,14,10,2,2,10,0,9.3,7.7,1.9,9.6,60,30,105,0.43,0.07,0.51,0.36,0.43,0.34,0.07,0.40,0.28,0.35,Matches
128,Sepp van den Berg,nl NED,DF,Brentford,23-141,2001,28,26,2316,25.7,0,0,0,0,0,0,2,0,1.7,1.7,0.5,2.2,10,72,27,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
129,Justin Devenny,nir NIR,MF,Crystal Palace,21-211,2003,20,4,429,4.8,1,0,1,1,0,0,1,0,0.7,0.7,0.4,1.1,4,16,12,0.21,0.00,0.21,0.21,0.21,0.14,0.09,0.22,0.14,0.22,Matches
130,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-246,1998,12,2,259,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0.00,0.35,0.35,0.00,0.35,0.08,0.37,0.45,0.08,0.45,Matches
131,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-303,2002,23,17,1639,18.2,7,6,13,7,0,0,3,0,4.2,4.2,4.0,8.2,93,55,163,0.38,0.33,0.71,0.38,0.71,0.23,0.22,0.45,0.23,0.45,Matches
132,Rúben Dias,pt POR,DF,Manchester City,27-361,1997,24,22,2001,22.2,0,0,0,0,0,0,4,0,1.4,1.4,0.3,1.7,35,122,6,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
133,Luis Díaz,co COL,FW,Liverpool,28-117,1997,33,26,2225,24.7,12,5,17,12,0,0,2,0,10.0,10.0,4.9,14.9,103,103,269,0.49,0.20,0.69,0.49,0.69,0.40,0.20,0.60,0.40,0.60,Matches
134,Tyler Dibling,eng ENG,"FW,MF",Southampton,19-059,2006,31,18,1742,19.4,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,68,61,93,0.10,0.00,0.10,0.10,0.10,0.13,0.08,0.21,0.13,0.21,Matches
135,Lucas Digne,fr FRA,DF,Aston Villa,31-294,1993,31,27,2261,25.1,0,4,4,0,0,0,4,0,0.8,0.8,4.4,5.1,23,55,140,0.00,0.16,0.16,0.00,0.16,0.03,0.17,0.20,0.03,0.20,Matches
136,Issa Diop,fr FRA,DF,Fulham,28-121,1997,21,15,1339,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
137,Axel Disasi,fr FRA,DF,Aston Villa,27-060,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
138,Axel Disasi,fr FRA,DF,Chelsea,27-060,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
139,Roman Dixon,eng ENG,DF,Everton,20-135,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
140,Nasser Djiga,bf BFA,"DF,FW",Wolves,22-176,2002,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
141,Matt Doherty,ie IRL,DF,Wolves,33-114,1992,28,23,1965,21.8,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.5,29,76,40,0.09,0.05,0.14,0.09,0.14,0.05,0.07,0.12,0.05,0.12,Matches
142,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-348,2002,26,15,1397,15.5,3,6,9,3,0,0,1,0,1.0,1.0,4.4,5.4,189,66,259,0.19,0.39,0.58,0.19,0.58,0.07,0.28,0.35,0.07,0.35,Matches
143,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-316,1998,31,20,1734,19.3,0,1,1,0,0,0,9,0,1.4,1.4,1.3,2.7,13,68,27,0.00,0.05,0.05,0.00,0.05,0.07,0.07,0.14,0.07,0.14,Matches
144,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-196,2004,9,8,630,7.0,0,0,0,0,0,0,3,1,0.4,0.4,0.4,0.8,27,23,54,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12,Matches
145,Alfie Dorrington,eng ENG,DF,Tottenham,20-020,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
146,Abdoulaye Doucouré,ml MLI,MF,Everton,32-129,1993,30,29,2425,26.9,3,1,4,3,0,0,5,1,3.9,3.9,2.3,6.2,40,78,91,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches
147,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-122,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
148,Flynn Downes,eng ENG,MF,Southampton,26-110,1999,24,22,1881,20.9,1,0,1,1,0,0,10,0,0.6,0.6,1.1,1.7,25,63,28,0.05,0.00,0.05,0.05,0.05,0.03,0.05,0.08,0.03,0.08,Matches
149,Tommy Doyle,eng ENG,MF,Wolves,23-205,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches
150,Radu Drăgușin,ro ROU,DF,Tottenham,23-096,2002,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
151,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-115,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
152,Lewis Dunk,eng ENG,DF,Brighton,33-170,1991,25,23,2083,23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches
153,Jáder Durán,co COL,FW,Aston Villa,21-148,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
154,Ederson,br BRA,GK,Manchester City,31-266,1993,23,23,2050,22.8,0,4,4,0,0,0,3,0,0.0,0.0,1.5,1.5,0,1,0,0.00,0.18,0.18,0.00,0.18,0.00,0.07,0.07,0.00,0.07,Matches
155,George Edmundson,eng ENG,DF,Ipswich Town,27-252,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
156,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-114,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
157,Odsonne Édouard,fr FRA,FW,Leicester City,27-114,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
158,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-102,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
159,Ronnie Edwards,eng ENG,DF,Southampton,22-043,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
160,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,23-013,2002,35,28,2232,24.8,6,9,15,6,0,0,1,0,4.2,4.2,4.8,9.0,87,54,190,0.24,0.36,0.60,0.24,0.60,0.17,0.19,0.36,0.17,0.36,Matches
161,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-036,2003,15,1,267,3.0,0,1,1,0,0,0,1,0,0.8,0.8,0.9,1.7,8,29,25,0.00,0.34,0.34,0.00,0.34,0.28,0.29,0.57,0.28,0.57,Matches
162,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-120,2006,9,0,41,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
163,Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-107,2004,11,10,709,7.9,2,3,5,2,0,0,3,0,1.5,1.5,1.2,2.7,16,22,33,0.25,0.38,0.63,0.25,0.63,0.19,0.16,0.35,0.19,0.35,Matches
164,Julio Enciso,py PAR,"MF,FW",Brighton,21-107,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38,Matches
165,Wataru Endo,jp JPN,MF,Liverpool,32-090,1993,18,1,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,14,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
166,Christian Eriksen,dk DEN,MF,Manchester Utd,33-085,1992,21,11,1028,11.4,0,2,2,0,0,0,4,0,0.4,0.4,2.9,3.2,12,53,29,0.00,0.18,0.18,0.00,0.18,0.03,0.25,0.28,0.03,0.28,Matches
167,Romain Esse,eng ENG,MF,Crystal Palace,19-362,2005,4,0,34,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.5,0,1,6,2.65,0.00,2.65,2.65,2.65,0.83,0.35,1.17,0.83,1.17,Matches
168,Pervis Estupiñán,ec ECU,DF,Brighton,27-109,1998,28,24,2222,24.7,1,1,2,1,0,0,5,0,1.1,1.1,2.1,3.1,55,116,107,0.04,0.04,0.08,0.04,0.08,0.04,0.08,0.13,0.04,0.13,Matches
169,Evanilson,br BRA,FW,Bournemouth,25-216,1999,28,25,2058,22.9,10,1,11,10,0,1,1,1,11.6,10.8,1.6,12.5,28,24,88,0.44,0.04,0.48,0.44,0.48,0.51,0.07,0.58,0.47,0.55,Matches
170,Jake Evans,,FW,Leicester City,,,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
171,Jonny Evans,nir NIR,DF,Manchester Utd,37-127,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
172,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-315,1998,31,29,2427,27.0,5,8,13,4,1,2,1,0,9.1,7.5,5.2,12.7,67,89,143,0.19,0.30,0.48,0.15,0.44,0.34,0.19,0.53,0.28,0.47,Matches
173,Łukasz Fabiański,pl POL,GK,West Ham,40-022,1985,13,12,1070,11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
174,Wout Faes,be BEL,DF,Leicester City,27-037,1998,31,27,2545,28.3,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.5,12,80,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.05,0.05,0.05,Matches
175,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-063,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
176,João Félix,pt POR,"FW,MF",Chelsea,25-181,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
177,Evan Ferguson,ie IRL,FW,West Ham,20-203,2004,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.17,0.50,0.32,0.50,Matches
178,Evan Ferguson,ie IRL,FW,Brighton,20-203,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35,Matches
179,Bruno Fernandes,pt POR,MF,Manchester Utd,30-244,1994,33,32,2758,30.6,8,9,17,5,3,3,4,2,9.5,7.1,7.6,14.7,65,281,118,0.26,0.29,0.55,0.16,0.46,0.31,0.25,0.56,0.23,0.48,Matches
180,Mateus Fernandes,pt POR,MF,Southampton,20-304,2004,33,31,2640,29.3,2,3,5,2,0,0,8,0,3.8,3.8,2.6,6.4,73,131,102,0.07,0.10,0.17,0.07,0.17,0.13,0.09,0.22,0.13,0.22,Matches
181,Enzo Fernández,ar ARG,MF,Chelsea,24-113,2001,33,29,2677,29.7,6,7,13,6,0,0,7,0,6.0,6.0,6.5,12.5,57,199,116,0.20,0.24,0.44,0.20,0.44,0.20,0.22,0.42,0.20,0.42,Matches
182,Mark Flekken,nl NED,GK,Brentford,31-331,1993,34,34,3005,33.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches
183,Phil Foden,eng ENG,"MF,FW",Manchester City,24-347,2000,26,19,1693,18.8,7,2,9,7,0,0,2,0,5.1,5.1,4.7,9.8,47,95,119,0.37,0.11,0.48,0.37,0.48,0.27,0.25,0.52,0.27,0.52,Matches
184,Wesley Fofana,fr FRA,DF,Chelsea,24-144,2000,14,14,1172,13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Matches
185,Carlos Forbs,pt POR,"MF,FW",Wolves,21-052,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,10,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
186,Fraser Forster,eng ENG,GK,Tottenham,37-054,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
187,Matheus França,br BRA,"FW,MF",Crystal Palace,21-039,2004,2,0,26,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,3.46,0.00,3.46,3.46,3.46,0.43,0.00,0.43,0.43,0.43,Matches
188,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-075,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
189,Tyler Fredricson,eng ENG,DF,Manchester Utd,20-076,2005,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
