Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
284,Jakub Kiwior,pl POL,DF,Arsenal,25-084,2000,14,7,852,9.5,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.4,5,36,0,0.11,0.00,0.11,0.11,0.11,0.02,0.03,0.05,0.02,0.05,Matches
285,Justin Kluivert,nl NED,"MF,FW",Bournemouth,26-005,1999,31,27,2161,24.0,12,6,18,6,6,6,8,0,10.0,5.3,4.8,10.1,74,95,153,0.50,0.25,0.75,0.25,0.50,0.42,0.20,0.62,0.22,0.42,Matches
286,Ibrahima Konaté,fr FRA,DF,Liverpool,25-350,1999,28,27,2320,25.8,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,21,103,3,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.10,0.07,0.10,Matches
287,Ezri Konsa,eng ENG,DF,Aston Villa,27-199,1997,31,30,2666,29.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,17,77,11,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches
288,Mateo Kovačić,hr CRO,MF,Manchester City,31-004,1994,29,23,2049,22.8,6,1,7,6,0,0,5,0,1.7,1.7,3.6,5.3,52,149,15,0.26,0.04,0.31,0.26,0.31,0.08,0.16,0.23,0.08,0.23,Matches
289,Caleb Kporha,eng ENG,DF,Crystal Palace,18-299,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
290,Emil Krafth,se SWE,DF,Newcastle Utd,30-281,1994,10,2,289,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
291,Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-281,2000,29,29,2421,26.9,4,2,6,4,0,0,2,1,6.6,6.6,2.5,9.0,93,76,201,0.15,0.07,0.22,0.15,0.22,0.24,0.09,0.34,0.24,0.34,Matches
292,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,25-015,2000,31,26,2371,26.3,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,123,210,0.27,0.15,0.42,0.27,0.42,0.16,0.24,0.39,0.16,0.39,Matches
293,Maxence Lacroix,fr FRA,DF,Crystal Palace,25-034,2000,32,32,2846,31.6,1,1,2,1,0,0,5,0,3.1,3.1,0.8,3.9,8,61,7,0.03,0.03,0.06,0.03,0.06,0.10,0.02,0.12,0.10,0.12,Matches
294,Adam Lallana,eng ENG,MF,Southampton,37-000,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
295,Tariq Lamptey,gh GHA,DF,Brighton,24-222,2000,14,9,802,8.9,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,28,12,43,0.22,0.22,0.45,0.22,0.45,0.04,0.09,0.13,0.04,0.13,Matches
296,Will Lankshear,eng ENG,"FW,MF",Tottenham,20-020,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
297,Roméo Lavia,be BEL,MF,Chelsea,21-124,2004,13,10,684,7.6,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,24,7,0.00,0.13,0.13,0.00,0.13,0.02,0.10,0.12,0.02,0.12,Matches
298,Mario Lemina,ga GAB,"MF,DF",Wolves,31-251,1993,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
299,Bernd Leno,de GER,GK,Fulham,33-067,1992,35,35,3150,35.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
300,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-197,1994,30,23,2034,22.6,0,1,1,0,0,0,8,0,1.0,1.0,1.5,2.5,11,86,25,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
301,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-170,2004,27,20,1818,20.2,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,104,68,0.05,0.10,0.15,0.05,0.15,0.07,0.02,0.08,0.07,0.08,Matches
302,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-077,2001,35,33,2839,31.5,1,3,4,1,0,0,6,0,2.6,2.6,3.0,5.6,92,90,144,0.03,0.10,0.13,0.03,0.13,0.08,0.10,0.18,0.08,0.18,Matches
303,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-226,2006,20,13,1168,13.0,1,0,1,1,0,0,2,2,0.1,0.1,0.4,0.5,32,62,33,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches
304,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-271,1999,29,25,2123,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.12,0.10,0.12,Matches
305,Pedro Lima,br BRA,DF,Wolves,18-313,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches
306,Victor Lindelöf,se SWE,DF,Manchester Utd,30-297,1994,13,4,485,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
307,Jesper Lindstrøm,dk DEN,FW,Everton,25-070,2000,25,15,1239,13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.00,0.07,0.07,0.00,0.07,0.15,0.15,0.30,0.15,0.30,Matches
308,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-179,2002,34,29,2570,28.6,0,1,1,0,0,0,1,0,0.2,0.2,2.3,2.6,73,144,98,0.00,0.04,0.04,0.00,0.04,0.01,0.08,0.09,0.01,0.09,Matches
309,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-192,1997,24,8,797,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
310,Saša Lukić,rs SRB,MF,Fulham,28-270,1996,28,26,2169,24.1,0,2,2,0,0,0,12,0,1.2,1.2,2.6,3.8,37,92,29,0.00,0.08,0.08,0.00,0.08,0.05,0.11,0.16,0.05,0.16,Matches
311,Joe Lumley,eng ENG,GK,Southampton,30-084,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
312,Massimo Luongo,au AUS,MF,Ipswich Town,32-227,1992,9,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
313,Ian Maatsen,nl NED,DF,Aston Villa,23-061,2002,26,8,957,10.6,1,2,3,1,0,0,2,0,0.8,0.8,2.7,3.5,27,40,91,0.09,0.19,0.28,0.09,0.28,0.07,0.25,0.33,0.07,0.33,Matches
314,Alexis Mac Allister,ar ARG,MF,Liverpool,26-137,1998,34,30,2575,28.6,5,5,10,5,0,0,6,0,2.8,2.8,4.6,7.4,34,174,79,0.17,0.17,0.35,0.17,0.35,0.10,0.16,0.26,0.10,0.26,Matches
315,James Maddison,eng ENG,MF,Tottenham,28-168,1996,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50,Matches
316,Noni Madueke,eng ENG,FW,Chelsea,23-061,2002,29,24,1813,20.1,7,3,10,7,0,0,3,0,9.1,9.1,4.0,13.1,142,66,212,0.35,0.15,0.50,0.35,0.50,0.45,0.20,0.65,0.45,0.65,Matches
317,Gabriel Magalhães,br BRA,DF,Arsenal,27-142,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.10,0.03,0.13,0.10,0.13,Matches
318,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,24-002,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches
319,Harry Maguire,eng ENG,DF,Manchester Utd,32-066,1993,24,17,1539,17.1,1,0,1,1,0,0,7,0,1.4,1.4,0.3,1.7,6,43,7,0.06,0.00,0.06,0.06,0.06,0.08,0.01,0.10,0.08,0.10,Matches
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-021,2005,22,18,1506,16.7,0,0,0,0,0,0,5,0,0.6,0.6,1.6,2.2,21,59,42,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13,Matches
321,Tyrell Malacia,nl NED,DF,Manchester Utd,25-266,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
322,Donyell Malen,nl NED,FW,Aston Villa,26-121,1999,12,2,293,3.3,3,0,3,3,0,0,0,0,2.2,2.2,0.1,2.2,11,5,25,0.92,0.00,0.92,0.92,0.92,0.66,0.02,0.68,0.66,0.68,Matches
323,Orel Mangala,be BEL,MF,Everton,27-053,1998,19,14,1261,14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Matches
324,Ryan Manning,ie IRL,"DF,MF",Southampton,28-330,1996,23,18,1459,16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0.00,0.06,0.06,0.00,0.06,0.02,0.20,0.22,0.02,0.22,Matches
325,Solly March,eng ENG,"FW,MF",Brighton,30-294,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.19,0.05,0.19,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
326,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-092,1999,13,12,998,11.1,6,0,6,6,0,0,0,0,4.8,4.8,1.7,6.5,21,29,68,0.54,0.00,0.54,0.54,0.54,0.43,0.15,0.59,0.43,0.59,Matches
327,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-326,2001,30,22,2041,22.7,7,4,11,7,0,0,1,0,5.9,5.9,4.7,10.6,112,47,267,0.31,0.18,0.49,0.31,0.49,0.26,0.21,0.47,0.26,0.47,Matches
328,Emiliano Martínez,ar ARG,GK,Aston Villa,32-250,1992,34,34,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
329,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-112,1998,20,20,1751,19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches
330,Pape Matar Sarr,sn SEN,MF,Tottenham,22-238,2002,33,19,1726,19.2,3,2,5,3,0,0,6,0,3.3,3.3,1.6,4.9,32,85,50,0.16,0.10,0.26,0.16,0.26,0.17,0.08,0.26,0.17,0.26,Matches
331,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-316,1997,34,31,2517,28.0,14,2,16,12,2,2,2,0,12.1,10.6,3.1,13.6,38,47,114,0.50,0.07,0.57,0.43,0.50,0.43,0.11,0.54,0.38,0.49,Matches
332,Stephy Mavididi,eng ENG,FW,Leicester City,26-344,1998,30,16,1615,17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.10,0.15,0.25,0.10,0.25,Matches
333,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-150,1997,31,20,1947,21.6,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2.0,16,60,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
334,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-177,1997,34,31,2639,29.3,0,1,1,0,0,0,2,0,0.7,0.7,1.3,2.0,37,102,51,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,Matches
335,Bryan Mbeumo,cm CMR,FW,Brentford,25-276,1999,35,35,3144,34.9,18,6,24,13,5,5,3,0,10.8,6.9,8.0,14.9,118,128,319,0.52,0.17,0.69,0.37,0.54,0.31,0.23,0.54,0.20,0.43,Matches
336,James Mcatee,eng ENG,"MF,FW",Manchester City,22-204,2002,14,2,304,3.4,3,0,3,3,0,0,1,0,2.8,2.8,0.3,3.1,7,6,26,0.89,0.00,0.89,0.89,0.89,0.83,0.10,0.93,0.83,0.93,Matches
337,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-169,2001,15,6,612,6.8,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.3,16,11,52,0.00,0.15,0.15,0.00,0.15,0.10,0.09,0.19,0.10,0.19,Matches
338,Alex McCarthy,eng ENG,GK,Southampton,35-158,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
339,John McGinn,sct SCO,"MF,FW",Aston Villa,30-204,1994,31,25,2052,22.8,1,4,5,1,0,0,7,0,2.9,2.6,3.4,6.0,31,96,72,0.04,0.18,0.22,0.04,0.22,0.13,0.15,0.28,0.11,0.27,Matches
340,Dwight McNeil,eng ENG,"MF,FW",Everton,25-169,1999,18,14,1262,14.0,4,4,8,4,0,0,1,0,1.1,1.1,3.8,4.8,35,63,74,0.29,0.29,0.57,0.29,0.57,0.08,0.27,0.35,0.08,0.35,Matches
341,Scott McTominay,sct SCO,MF,Manchester Utd,28-153,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
342,Ben Mee,eng ENG,DF,Brentford,35-231,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
343,Jayden Meghoma,eng ENG,DF,Brentford,18-316,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
344,Mikel Merino,es ESP,"MF,FW",Arsenal,28-322,1996,26,15,1418,15.8,6,2,8,6,0,0,2,0,4.4,4.4,1.9,6.3,9,62,88,0.38,0.13,0.51,0.38,0.51,0.28,0.12,0.40,0.28,0.40,Matches
345,Shumaira Mheuka,eng ENG,MF,Chelsea,17-202,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,5.06,0.00,5.06,5.06,5.06,Matches
346,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-210,1997,34,34,3060,34.0,4,2,6,4,0,0,4,0,3.6,3.6,1.0,4.6,3,49,6,0.12,0.06,0.18,0.12,0.18,0.10,0.03,0.13,0.10,0.13,Matches
347,Lewis Miley,eng ENG,MF,Newcastle Utd,19-009,2006,12,1,249,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,2,14,7,0.36,0.00,0.36,0.36,0.36,0.20,0.01,0.21,0.20,0.21,Matches
348,James Milner,eng ENG,MF,Brighton,39-126,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
349,Tyrone Mings,eng ENG,DF,Aston Villa,32-058,1993,13,11,1051,11.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,6,39,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
350,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-292,2004,29,17,1587,17.6,6,4,10,6,0,0,6,0,4.0,4.0,4.7,8.7,71,40,163,0.34,0.23,0.57,0.34,0.57,0.22,0.27,0.49,0.22,0.49,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
351,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-251,1999,35,35,2942,32.7,0,4,4,0,0,0,2,0,1.2,1.2,5.7,7.0,56,64,166,0.00,0.12,0.12,0.00,0.12,0.04,0.18,0.21,0.04,0.21,Matches
352,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-355,1997,33,28,2521,28.0,9,3,12,9,0,0,1,0,8.8,8.8,4.4,13.2,138,82,277,0.32,0.11,0.43,0.32,0.43,0.31,0.16,0.47,0.31,0.47,Matches
353,Jakub Moder,pl POL,MF,Brighton,26-033,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches
354,Jeremy Monga,,"FW,MF",Leicester City,,,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
355,Mikey Moore,eng ENG,FW,Tottenham,17-272,2007,8,2,208,2.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,31,0.00,0.43,0.43,0.00,0.43,0.09,0.15,0.23,0.09,0.23,Matches
356,Morato,br BRA,DF,Nott'ham Forest,23-314,2001,24,5,809,9.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,0,14,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
357,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31-336,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.13,0.02,0.13,Matches
358,Sam Morsy,eg EGY,MF,Ipswich Town,33-242,1991,30,28,2486,27.6,1,1,2,1,0,0,10,0,0.3,0.3,0.8,1.2,16,104,9,0.04,0.04,0.07,0.04,0.07,0.01,0.03,0.04,0.01,0.04,Matches
359,Yerson Mosquera,co COL,DF,Wolves,24-008,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
360,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-120,1999,14,5,430,4.8,1,0,1,1,0,0,3,0,2.3,2.3,0.2,2.5,11,21,23,0.21,0.00,0.21,0.21,0.21,0.48,0.04,0.52,0.48,0.52,Matches
361,Divin Mubama,eng ENG,FW,Manchester City,20-197,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
362,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-125,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches
363,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-322,1996,11,10,878,9.8,1,1,2,1,0,0,0,0,3.0,3.0,1.5,4.5,7,8,26,0.10,0.10,0.21,0.10,0.21,0.31,0.15,0.46,0.31,0.46,Matches
364,Rodrigo Muniz,br BRA,FW,Fulham,24-006,2001,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,Matches
365,Daniel Muñoz,co COL,DF,Crystal Palace,28-349,1996,34,34,2958,32.9,4,4,8,4,0,0,10,0,4.7,4.7,4.5,9.1,54,89,191,0.12,0.12,0.24,0.12,0.24,0.14,0.14,0.28,0.14,0.28,Matches
366,Arijanet Muric,xk KVX,GK,Ipswich Town,26-184,1998,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
367,Murillo,br BRA,DF,Nott'ham Forest,22-310,2002,34,34,3008,33.4,2,0,2,2,0,0,5,0,1.4,1.4,1.1,2.5,20,103,5,0.06,0.00,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,Matches
368,Jacob Murphy,eng ENG,FW,Newcastle Utd,30-075,1995,32,28,2139,23.8,8,11,19,8,0,0,3,0,5.7,5.7,8.1,13.8,70,67,216,0.34,0.46,0.80,0.34,0.80,0.24,0.34,0.58,0.24,0.58,Matches
369,Vitaliy Mykolenko,ua UKR,DF,Everton,25-346,1999,32,32,2812,31.2,0,1,1,0,0,0,3,0,0.4,0.4,1.6,2.1,31,105,90,0.00,0.03,0.03,0.00,0.03,0.01,0.05,0.07,0.01,0.07,Matches
370,Iliman Ndiaye,sn SEN,FW,Everton,25-065,2000,30,27,2252,25.0,7,0,7,5,2,2,3,0,5.2,3.6,1.6,5.2,81,50,115,0.28,0.00,0.28,0.20,0.20,0.21,0.06,0.27,0.15,0.21,Matches
371,Wilfred Ndidi,ng NGA,MF,Leicester City,28-145,1996,26,26,2147,23.9,0,4,4,0,0,0,8,0,2.0,2.0,1.8,3.9,17,65,75,0.00,0.17,0.17,0.00,0.17,0.09,0.08,0.16,0.09,0.16,Matches
372,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-145,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
373,Reiss Nelson,eng ENG,FW,Arsenal,25-151,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
374,Reiss Nelson,eng ENG,FW,Fulham,25-151,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Matches
375,Neto,br BRA,GK,Bournemouth,35-295,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
376,Pedro Neto,pt POR,FW,Chelsea,25-062,2000,32,21,2013,22.4,4,5,9,4,0,0,8,0,2.9,2.9,6.1,9.0,118,57,229,0.18,0.22,0.40,0.18,0.40,0.13,0.27,0.40,0.13,0.40,Matches
377,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25-345,1999,26,8,895,9.9,1,1,2,1,0,0,6,1,4.5,4.5,1.6,6.1,38,17,68,0.10,0.10,0.20,0.10,0.20,0.45,0.16,0.62,0.45,0.62,Matches
